2024-05-30 14:50:46 [main] INFO  c.p.controller.ParserControllerTest - Starting ParserControllerTest using Java 22.0.1 with PID 7860 (started by Димыч in C:\Users\Димыч\Downloads\pastebin\notificationSystem\xlsxParser)
2024-05-30 14:50:46 [main] INFO  c.p.controller.ParserControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-05-30 14:50:48 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-05-30 14:50:48 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-05-30 14:50:48 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-05-30 14:50:48 [main] INFO  c.p.controller.ParserControllerTest - Started ParserControllerTest in 2.787 seconds (process running for 3.753)
2024-05-30 14:50:48 [main] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.multipart.support.MissingServletRequestPartException: Required part 'file' is not present.]
2024-05-30 14:56:39 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 14:56:39 [main] INFO  c.p.controller.ParserControllerTest - Starting ParserControllerTest using Java 22.0.1 with PID 3632 (started by Димыч in C:\Users\Димыч\Downloads\pastebin\notificationSystem\xlsxParser)
2024-05-30 14:56:39 [main] INFO  c.p.controller.ParserControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-05-30 14:56:42 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-05-30 14:56:42 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-05-30 14:56:42 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-05-30 14:56:42 [main] INFO  c.p.controller.ParserControllerTest - Started ParserControllerTest in 2.786 seconds (process running for 3.755)
2024-05-30 14:57:02 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 14:57:02 [main] INFO  c.p.controller.ParserControllerTest - Starting ParserControllerTest using Java 22.0.1 with PID 20084 (started by Димыч in C:\Users\Димыч\Downloads\pastebin\notificationSystem\xlsxParser)
2024-05-30 14:57:02 [main] INFO  c.p.controller.ParserControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-05-30 14:57:04 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-05-30 14:57:04 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-05-30 14:57:04 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-05-30 14:57:04 [main] INFO  c.p.controller.ParserControllerTest - Started ParserControllerTest in 3.0 seconds (process running for 4.123)
2024-05-30 14:58:24 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 14:58:24 [main] INFO  c.p.controller.ParserControllerTest - Starting ParserControllerTest using Java 22.0.1 with PID 776 (started by Димыч in C:\Users\Димыч\Downloads\pastebin\notificationSystem\xlsxParser)
2024-05-30 14:58:24 [main] INFO  c.p.controller.ParserControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-05-30 14:58:27 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-05-30 14:58:27 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-05-30 14:58:27 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-05-30 14:58:27 [main] INFO  c.p.controller.ParserControllerTest - Started ParserControllerTest in 2.821 seconds (process running for 3.849)
